date,wind_power
2001-01-01,776
2001-02-01,861
2001-03-01,1063
2001-04-01,1368
2001-05-01,1269
2001-06-01,1337
2001-07-01,1269
2001-08-01,1152
2001-09-01,980
2001-10-01,1211
2001-11-01,937
2001-12-01,1190
2002-01-01,1527
2002-02-01,1360
2002-03-01,1600
2002-04-01,1967
2002-05-01,2080
2002-06-01,2176
2002-07-01,1715
2002-08-01,1886
2002-09-01,1404
2002-10-01,1408
2002-11-01,1246
2002-12-01,1418
2003-01-01,1172
2003-02-01,1397
2003-03-01,1924
2003-04-01,2032
2003-05-01,1909
2003-06-01,1973
2003-07-01,1793
2003-08-01,1538
2003-09-01,1656
2003-10-01,1640
2003-11-01,1731
2003-12-01,1968
2004-01-01,1742
2004-02-01,1798
2004-03-01,2292
2004-04-01,2328
2004-05-01,3107
2004-06-01,2611
2004-07-01,2168
2004-08-01,1936
2004-09-01,1960
2004-10-01,1849
2004-11-01,1632
2004-12-01,2058
2005-01-01,2066
2005-02-01,1754
2005-03-01,2830
2005-04-01,3068
2005-05-01,3216
2005-06-01,3290
2005-07-01,2614
2005-08-01,2092
2005-09-01,2689
2005-10-01,2636
2005-11-01,2907
2005-12-01,3192
2006-01-01,4048
2006-02-01,3288
2006-03-01,4074
2006-04-01,4294
2006-05-01,4400
2006-06-01,3649
2006-07-01,3466
2006-08-01,2960
2006-09-01,3324
2006-10-01,4305
2006-11-01,4350
2006-12-01,4290
2007-01-01,4179
2007-02-01,4349
2007-03-01,5249
2007-04-01,5501
2007-05-01,5147
2007-06-01,4603
2007-07-01,3814
2007-08-01,4694
2007-09-01,4945
2007-10-01,5767
2007-11-01,5328
2007-12-01,5859
2008-01-01,7193
2008-02-01,6547
2008-03-01,8218
2008-04-01,9001
2008-05-01,9262
2008-06-01,8962
2008-07-01,6975
2008-08-01,5589
2008-09-01,5261
2008-10-01,8021
2008-11-01,8392
2008-12-01,11233
2009-01-01,9995
2009-02-01,9921
2009-03-01,11972
2009-04-01,12735
2009-05-01,10809
2009-06-01,9726
2009-07-01,8693
2009-08-01,9431
2009-09-01,7917
2009-10-01,11441
2009-11-01,11327
2009-12-01,11409
2010-01-01,11396
2010-02-01,9206
2010-03-01,14337
2010-04-01,16191
2010-05-01,14512
2010-06-01,13704
2010-07-01,11455
2010-08-01,11278
2010-09-01,11607
2010-10-01,12816
2010-11-01,16034
2010-12-01,15032
2011-01-01,13868
2011-02-01,17044
2011-03-01,17209
2011-04-01,20399
2011-05-01,19817
2011-06-01,18530
2011-07-01,12634
2011-08-01,12566
2011-09-01,11218
2011-10-01,17313
2011-11-01,20080
2011-12-01,17419
2012-01-01,21962
2012-02-01,17996
2012-03-01,22704
2012-04-01,20677
2012-05-01,20822
2012-06-01,19726
2012-07-01,14657
2012-08-01,14228
2012-09-01,14539
2012-10-01,20393
2012-11-01,18843
2012-12-01,22978
2013-01-01,23143
2013-02-01,22505
2013-03-01,25324
2013-04-01,28047
2013-05-01,26596
2013-06-01,22599
2013-07-01,18288
2013-08-01,15783
2013-09-01,18766
2013-10-01,21774
2013-11-01,24792
2013-12-01,21875
2014-01-01,28325
2014-02-01,22173
2014-03-01,28126
2014-04-01,29774
2014-05-01,25399
2014-06-01,26070
2014-07-01,19948
2014-08-01,16583
2014-09-01,18429
2014-10-01,23030
2014-11-01,29907
2014-12-01,23446
2015-01-01,23765
2015-02-01,23654
2015-03-01,23835
2015-04-01,28509
2015-05-01,28202
2015-06-01,21817
2015-07-01,22487
2015-08-01,21637
2015-09-01,22287
2015-10-01,25754
2015-11-01,30971
2015-12-01,31786
2016-01-01,28954
2016-02-01,31684
2016-03-01,34773
2016-04-01,33416
2016-05-01,30362
2016-06-01,26176
2016-07-01,28936
2016-08-01,22102
2016-09-01,26195
2016-10-01,32224
2016-11-01,30424
2016-12-01,36479
2017-01-01,32648
2017-02-01,34583
2017-03-01,40340
2017-04-01,39845
2017-05-01,36690
2017-06-01,31509
2017-07-01,25736
2017-08-01,22472
2017-09-01,28289
2017-10-01,37773
2017-11-01,34907
2017-12-01,33800
2018-01-01,39109
2018-02-01,35784
2018-03-01,40943
2018-04-01,41424
2018-05-01,38538
2018-06-01,39704
2018-07-01,26758
2018-08-01,31907
2018-09-01,28956
2018-10-01,32883
2018-11-01,34193
2018-12-01,37568
2019-01-01,37738
2019-02-01,35422
2019-03-01,40145
2019-04-01,45413
2019-05-01,41399
2019-06-01,35690
2019-07-01,35774
2019-08-01,32310
2019-09-01,38631
2019-10-01,43103
2019-11-01,39411
2019-12-01,41095
2020-01-01,44064
2020-02-01,45689
2020-03-01,45883
2020-04-01,46721
2020-05-01,45344
2020-06-01,48500
2020-07-01,37881
2020-08-01,37972
2020-09-01,36776
2020-10-01,45850
2020-11-01,51389
2020-12-01,50454
2021-01-01,47089
2021-02-01,41736
2021-03-01,61554
2021-04-01,57482
2021-05-01,54360
2021-06-01,42782
2021-07-01,35052
2021-08-01,43649
2021-09-01,45039
2021-10-01,50942
2021-11-01,55849
2021-12-01,62235
2022-01-01,59313
2022-02-01,58948
2022-03-01,67618
2022-04-01,72596
2022-05-01,66529
2022-06-01,53664
2022-07-01,47254
2022-08-01,39035
2022-09-01,42373
2022-10-01,51560
2022-11-01,65454
2022-12-01,61847
2023-01-01,61985
2023-02-01,66417
